"Labor force data by county, not seasonally adjusted, February 2020-March 2021(p)",,,,,,,,
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
                 ,  FIPS Codes  ,                                          ,           ,  Civilian  ,            ,     Unemployed,,
  LAUS Area Code ,--------------,                Area Title                ,   Period  ,    Labor   ,  Employed  ,--------------------,,
                 , State, County,                                          ,           ,    Force   ,            ,   Level  ,   Rate
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
 CN0100100000000 ,1,1," Autauga County, AL                       ",   Feb-20  ,"26,157","25,467",690,2.6
 CN0100300000000 ,1,3," Baldwin County, AL                       ",   Feb-20  ,"96,660","94,213","2,447",2.5
 CN0100500000000 ,1,5," Barbour County, AL                       ",   Feb-20  ,"8,573","8,286",287,3.3
 CN0100700000000 ,1,7," Bibb County, AL                          ",   Feb-20  ,"8,615","8,369",246,2.9
 CN0100900000000 ,1,9," Blount County, AL                        ",   Feb-20  ,"25,141","24,529",612,2.4
 CN0101100000000 ,1,11," Bullock County, AL                       ",   Feb-20  ,"4,805","4,655",150,3.1
 CN0101300000000 ,1,13," Butler County, AL                        ",   Feb-20  ,"9,120","8,755",365,4
 CN0101500000000 ,1,15," Calhoun County, AL                       ",   Feb-20  ,"46,095","44,586","1,509",3.3
 CN0101700000000 ,1,17," Chambers County, AL                      ",   Feb-20  ,"15,837","15,409",428,2.7
 CN0101900000000 ,1,19," Cherokee County, AL                      ",   Feb-20  ,"11,622","11,310",312,2.7
 CN0102100000000 ,1,21," Chilton County, AL                       ",   Feb-20  ,"19,790","19,324",466,2.4
 CN0102300000000 ,1,23," Choctaw County, AL                       ",   Feb-20  ,"4,539","4,325",214,4.7
 CN0102500000000 ,1,25," Clarke County, AL                        ",   Feb-20  ,"7,617","7,220",397,5.2
 CN0102700000000 ,1,27," Clay County, AL                          ",   Feb-20  ,"6,154","6,001",153,2.5
 CN0102900000000 ,1,29," Cleburne County, AL                      ",   Feb-20  ,"5,801","5,638",163,2.8
 CN0103100000000 ,1,31," Coffee County, AL                        ",   Feb-20  ,"21,728","21,185",543,2.5
 CN0103300000000 ,1,33," Colbert County, AL                       ",   Feb-20  ,"23,514","22,664",850,3.6
 CN0103500000000 ,1,35," Conecuh County, AL                       ",   Feb-20  ,"4,460","4,298",162,3.6
 CN0103700000000 ,1,37," Coosa County, AL                         ",   Feb-20  ,"4,457","4,332",125,2.8
 CN0103900000000 ,1,39," Covington County, AL                     ",   Feb-20  ,"15,275","14,795",480,3.1
 CN0104100000000 ,1,41," Crenshaw County, AL                      ",   Feb-20  ,"6,385","6,211",174,2.7
 CN0104300000000 ,1,43," Cullman County, AL                       ",   Feb-20  ,"38,704","37,760",944,2.4
 CN0104500000000 ,1,45," Dale County, AL                          ",   Feb-20  ,"20,542","19,994",548,2.7
 CN0104700000000 ,1,47," Dallas County, AL                        ",   Feb-20  ,"14,412","13,696",716,5
 CN0104900000000 ,1,49," DeKalb County, AL                        ",   Feb-20  ,"31,175","30,376",799,2.6
 CN0105100000000 ,1,51," Elmore County, AL                        ",   Feb-20  ,"37,027","36,099",928,2.5
 CN0105300000000 ,1,53," Escambia County, AL                      ",   Feb-20  ,"14,448","13,971",477,3.3
 CN0105500000000 ,1,55," Etowah County, AL                        ",   Feb-20  ,"41,742","40,117","1,625",3.9
 CN0105700000000 ,1,57," Fayette County, AL                       ",   Feb-20  ,"6,634","6,451",183,2.8
 CN0105900000000 ,1,59," Franklin County, AL                      ",   Feb-20  ,"14,683","14,183",500,3.4
 CN0106100000000 ,1,61," Geneva County, AL                        ",   Feb-20  ,"10,984","10,697",287,2.6
 CN0106300000000 ,1,63," Greene County, AL                        ",   Feb-20  ,"2,996","2,845",151,5
 CN0106500000000 ,1,65," Hale County, AL                          ",   Feb-20  ,"6,163","5,924",239,3.9
 CN0106700000000 ,1,67," Henry County, AL                         ",   Feb-20  ,"6,882","6,667",215,3.1
 CN0106900000000 ,1,69," Houston County, AL                       ",   Feb-20  ,"46,311","45,068","1,243",2.7
 CN0107100000000 ,1,71," Jackson County, AL                       ",   Feb-20  ,"22,994","22,251",743,3.2
 CN0107300000000 ,1,73," Jefferson County, AL                     ",   Feb-20  ,"315,431","307,230","8,201",2.6
 CN0107500000000 ,1,75," Lamar County, AL                         ",   Feb-20  ,"5,739","5,563",176,3.1
 CN0107700000000 ,1,77," Lauderdale County, AL                    ",   Feb-20  ,"42,000","40,768","1,232",2.9
 CN0107900000000 ,1,79," Lawrence County, AL                      ",   Feb-20  ,"14,323","13,924",399,2.8
 CN0108100000000 ,1,81," Lee County, AL                           ",   Feb-20  ,"76,548","74,728","1,820",2.4
 CN0108300000000 ,1,83," Limestone County, AL                     ",   Feb-20  ,"44,939","43,890","1,049",2.3
 CN0108500000000 ,1,85," Lowndes County, AL                       ",   Feb-20  ,"3,464","3,293",171,4.9
 CN0108700000000 ,1,87," Macon County, AL                         ",   Feb-20  ,"7,910","7,623",287,3.6
 CN0108900000000 ,1,89," Madison County, AL                       ",   Feb-20  ,"187,610","183,383","4,227",2.3
 CN0109100000000 ,1,91," Marengo County, AL                       ",   Feb-20  ,"7,818","7,555",263,3.4
 CN0109300000000 ,1,93," Marion County, AL                        ",   Feb-20  ,"12,946","12,451",495,3.8
 CN0109500000000 ,1,95," Marshall County, AL                      ",   Feb-20  ,"44,352","43,350","1,002",2.3
 CN0109700000000 ,1,97," Mobile County, AL                        ",   Feb-20  ,"188,985","182,131","6,854",3.6
 CN0109900000000 ,1,99," Monroe County, AL                        ",   Feb-20  ,"7,443","7,083",360,4.8
 CN0110100000000 ,1,101," Montgomery County, AL                    ",   Feb-20  ,"105,411","102,345","3,066",2.9
 CN0110300000000 ,1,103," Morgan County, AL                        ",   Feb-20  ,"58,668","57,319","1,349",2.3
