"Labor force data by county, not seasonally adjusted, February 2021-March 2022(p)",,,,,,,,
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
                 ,  FIPS Codes  ,                                          ,           ,  Civilian  ,            ,     Unemployed,,
  LAUS Area Code ,--------------,                Area Title                ,   Period  ,    Labor   ,  Employed  ,--------------------,,
                 , State, County,                                          ,           ,    Force   ,            ,   Level  ,   Rate
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
 CN2116100000000 ,21,161," Mason County, KY                         ",   Feb-21  ,"6,793","6,357",436,6.4
 CN2116300000000 ,21,163," Meade County, KY                         ",   Feb-21  ,"11,554","10,938",616,5.3
 CN2116500000000 ,21,165," Menifee County, KY                       ",   Feb-21  ,"2,303","2,080",223,9.7
 CN2116700000000 ,21,167," Mercer County, KY                        ",   Feb-21  ,"9,632","9,119",513,5.3
 CN2116900000000 ,21,169," Metcalfe County, KY                      ",   Feb-21  ,"3,902","3,659",243,6.2
 CN2117100000000 ,21,171," Monroe County, KY                        ",   Feb-21  ,"4,519","4,326",193,4.3
 CN2117300000000 ,21,173," Montgomery County, KY                    ",   Feb-21  ,"11,295","10,592",703,6.2
 CN2117500000000 ,21,175," Morgan County, KY                        ",   Feb-21  ,"4,340","4,033",307,7.1
 CN2117700000000 ,21,177," Muhlenberg County, KY                    ",   Feb-21  ,"9,590","8,857",733,7.6
 CN2117900000000 ,21,179," Nelson County, KY                        ",   Feb-21  ,"22,643","21,623","1,020",4.5
 CN2118100000000 ,21,181," Nicholas County, KY                      ",   Feb-21  ,"3,219","3,070",149,4.6
 CN2118300000000 ,21,183," Ohio County, KY                          ",   Feb-21  ,"9,078","8,479",599,6.6
 CN2118500000000 ,21,185," Oldham County, KY                        ",   Feb-21  ,"32,505","31,336","1,169",3.6
 CN2118700000000 ,21,187," Owen County, KY                          ",   Feb-21  ,"4,986","4,746",240,4.8
 CN2118900000000 ,21,189," Owsley County, KY                        ",   Feb-21  ,"1,048",973,75,7.2
 CN2119100000000 ,21,191," Pendleton County, KY                     ",   Feb-21  ,"6,810","6,484",326,4.8
 CN2119300000000 ,21,193," Perry County, KY                         ",   Feb-21  ,"7,903","7,363",540,6.8
 CN2119500000000 ,21,195," Pike County, KY                          ",   Feb-21  ,"19,143","17,859","1,284",6.7
 CN2119700000000 ,21,197," Powell County, KY                        ",   Feb-21  ,"4,925","4,646",279,5.7
 CN2119900000000 ,21,199," Pulaski County, KY                       ",   Feb-21  ,"25,616","24,212","1,404",5.5
 CN2120100000000 ,21,201," Robertson County, KY                     ",   Feb-21  ,767,729,38,5
 CN2120300000000 ,21,203," Rockcastle County, KY                    ",   Feb-21  ,"6,346","6,005",341,5.4
 CN2120500000000 ,21,205," Rowan County, KY                         ",   Feb-21  ,"9,927","9,343",584,5.9
 CN2120700000000 ,21,207," Russell County, KY                       ",   Feb-21  ,"6,014","5,647",367,6.1
 CN2120900000000 ,21,209," Scott County, KY                         ",   Feb-21  ,"29,177","28,016","1,161",4
 CN2121100000000 ,21,211," Shelby County, KY                        ",   Feb-21  ,"25,262","24,318",944,3.7
 CN2121300000000 ,21,213," Simpson County, KY                       ",   Feb-21  ,"8,672","8,262",410,4.7
 CN2121500000000 ,21,215," Spencer County, KY                       ",   Feb-21  ,"10,307","9,907",400,3.9
 CN2121700000000 ,21,217," Taylor County, KY                        ",   Feb-21  ,"12,287","11,768",519,4.2
 CN2121900000000 ,21,219," Todd County, KY                          ",   Feb-21  ,"5,334","5,142",192,3.6
 CN2122100000000 ,21,221," Trigg County, KY                         ",   Feb-21  ,"5,958","5,626",332,5.6
 CN2122300000000 ,21,223," Trimble County, KY                       ",   Feb-21  ,"3,771","3,569",202,5.4
 CN2122500000000 ,21,225," Union County, KY                         ",   Feb-21  ,"5,896","5,645",251,4.3
 CN2122700000000 ,21,227," Warren County, KY                        ",   Feb-21  ,"64,123","60,610","3,513",5.5
 CN2122900000000 ,21,229," Washington County, KY                    ",   Feb-21  ,"5,996","5,762",234,3.9
 CN2123100000000 ,21,231," Wayne County, KY                         ",   Feb-21  ,"7,321","6,948",373,5.1
 CN2123300000000 ,21,233," Webster County, KY                       ",   Feb-21  ,"5,266","5,006",260,4.9
 CN2123500000000 ,21,235," Whitley County, KY                       ",   Feb-21  ,"13,902","13,148",754,5.4
 CN2123700000000 ,21,237," Wolfe County, KY                         ",   Feb-21  ,"2,136","1,990",146,6.8
 CN2123900000000 ,21,239," Woodford County, KY                      ",   Feb-21  ,"14,499","13,967",532,3.7
 CN2200100000000 ,22,1," Acadia Parish, LA                        ",   Feb-21  ,"23,150","21,887","1,263",5.5
 CN2200300000000 ,22,3," Allen Parish, LA                         ",   Feb-21  ,"8,056","7,580",476,5.9
 CN2200500000000 ,22,5," Ascension Parish, LA                     ",   Feb-21  ,"63,816","60,918","2,898",4.5
 CN2200700000000 ,22,7," Assumption Parish, LA                    ",   Feb-21  ,"8,743","8,088",655,7.5
 CN2200900000000 ,22,9," Avoyelles Parish, LA                     ",   Feb-21  ,"14,500","13,695",805,5.6
 CN2201100000000 ,22,11," Beauregard Parish, LA                    ",   Feb-21  ,"14,264","13,632",632,4.4
 CN2201300000000 ,22,13," Bienville Parish, LA                     ",   Feb-21  ,"5,248","4,921",327,6.2
 CN2201500000000 ,22,15," Bossier Parish, LA                       ",   Feb-21  ,"55,909","53,573","2,336",4.2
 CN2201700000000 ,22,17," Caddo Parish, LA                         ",   Feb-21  ,"99,415","92,882","6,533",6.6
 CN2201900000000 ,22,19," Calcasieu Parish, LA                     ",   Feb-21  ,"92,074","86,080","5,994",6.5
 CN2202100000000 ,22,21," Caldwell Parish, LA                      ",   Feb-21  ,"3,660","3,467",193,5.3
 CN2202300000000 ,22,23," Cameron Parish, LA                       ",   Feb-21  ,"3,352","3,217",135,4
 CN2202500000000 ,22,25," Catahoula Parish, LA                     ",   Feb-21  ,"3,383","3,185",198,5.9
 CN2202700000000 ,22,27," Claiborne Parish, LA                     ",   Feb-21  ,"5,448","5,141",307,5.6
 CN2202900000000 ,22,29," Concordia Parish, LA                     ",   Feb-21  ,"6,757","6,326",431,6.4
 CN2203100000000 ,22,31," De Soto Parish, LA                       ",   Feb-21  ,"10,559","9,989",570,5.4
 CN2203300000000 ,22,33," East Baton Rouge Parish, LA              ",   Feb-21  ,"223,609","211,500","12,109",5.4
 CN2203500000000 ,22,35," East Carroll Parish, LA                  ",   Feb-21  ,"1,754","1,570",184,10.5
 CN2203700000000 ,22,37," East Feliciana Parish, LA                ",   Feb-21  ,"7,538","7,167",371,4.9
 CN2203900000000 ,22,39," Evangeline Parish, LA                    ",   Feb-21  ,"11,844","11,136",708,6
 CN2204100000000 ,22,41," Franklin Parish, LA                      ",   Feb-21  ,"7,297","6,824",473,6.5
 CN2204300000000 ,22,43," Grant Parish, LA                         ",   Feb-21  ,"8,095","7,737",358,4.4
 CN2204500000000 ,22,45," Iberia Parish, LA                        ",   Feb-21  ,"27,214","25,146","2,068",7.6
 CN2204700000000 ,22,47," Iberville Parish, LA                     ",   Feb-21  ,"13,469","12,478",991,7.4
 CN2204900000000 ,22,49," Jackson Parish, LA                       ",   Feb-21  ,"6,664","6,398",266,4
 CN2205100000000 ,22,51," Jefferson Parish, LA                     ",   Feb-21  ,"205,559","192,824","12,735",6.2
 CN2205300000000 ,22,53," Jefferson Davis Parish, LA               ",   Feb-21  ,"12,364","11,705",659,5.3
 CN2205500000000 ,22,55," Lafayette Parish, LA                     ",   Feb-21  ,"112,848","107,238","5,610",5
 CN2205700000000 ,22,57," Lafourche Parish, LA                     ",   Feb-21  ,"40,853","38,906","1,947",4.8
 CN2205900000000 ,22,59," LaSalle Parish, LA                       ",   Feb-21  ,"6,686","6,440",246,3.7
 CN2206100000000 ,22,61," Lincoln Parish, LA                       ",   Feb-21  ,"21,048","20,115",933,4.4
 CN2206300000000 ,22,63," Livingston Parish, LA                    ",   Feb-21  ,"68,179","65,363","2,816",4.1
 CN2206500000000 ,22,65," Madison Parish, LA                       ",   Feb-21  ,"3,459","3,200",259,7.5
 CN2206700000000 ,22,67," Morehouse Parish, LA                     ",   Feb-21  ,"9,725","8,959",766,7.9
 CN2206900000000 ,22,69," Natchitoches Parish, LA                  ",   Feb-21  ,"16,105","15,324",781,4.8
 CN2207100000000 ,22,71," Orleans Parish, LA                       ",   Feb-21  ,"175,052","160,211","14,841",8.5
 CN2207300000000 ,22,73," Ouachita Parish, LA                      ",   Feb-21  ,"68,375","64,627","3,748",5.5
 CN2207500000000 ,22,75," Plaquemines Parish, LA                   ",   Feb-21  ,"9,439","9,008",431,4.6
 CN2207700000000 ,22,77," Pointe Coupee Parish, LA                 ",   Feb-21  ,"9,413","8,843",570,6.1
 CN2207900000000 ,22,79," Rapides Parish, LA                       ",   Feb-21  ,"54,690","52,327","2,363",4.3
 CN2208100000000 ,22,81," Red River Parish, LA                     ",   Feb-21  ,"3,591","3,414",177,4.9
 CN2208300000000 ,22,83," Richland Parish, LA                      ",   Feb-21  ,"7,899","7,438",461,5.8
 CN2208500000000 ,22,85," Sabine Parish, LA                        ",   Feb-21  ,"9,188","8,815",373,4.1
 CN2208700000000 ,22,87," St. Bernard Parish, LA                   ",   Feb-21  ,"19,602","18,229","1,373",7
 CN2208900000000 ,22,89," St. Charles Parish, LA                   ",   Feb-21  ,"24,033","22,783","1,250",5.2
 CN2209100000000 ,22,91," St. Helena Parish, LA                    ",   Feb-21  ,"4,188","3,798",390,9.3
 CN2209300000000 ,22,93," St. James Parish, LA                     ",   Feb-21  ,"8,739","8,083",656,7.5
 CN2209500000000 ,22,95," St. John the Baptist Parish, LA          ",   Feb-21  ,"18,852","17,255","1,597",8.5
 CN2209700000000 ,22,97," St. Landry Parish, LA                    ",   Feb-21  ,"31,523","29,372","2,151",6.8
 CN2209900000000 ,22,99," St. Martin Parish, LA                    ",   Feb-21  ,"21,587","20,234","1,353",6.3
 CN2210100000000 ,22,101," St. Mary Parish, LA                      ",   Feb-21  ,"18,684","17,312","1,372",7.3
 CN2210300000000 ,22,103," St. Tammany Parish, LA                   ",   Feb-21  ,"115,090","110,358","4,732",4.1
 CN2210500000000 ,22,105," Tangipahoa Parish, LA                    ",   Feb-21  ,"55,715","52,017","3,698",6.6
 CN2210700000000 ,22,107," Tensas Parish, LA                        ",   Feb-21  ,"1,316","1,231",85,6.5
 CN2210900000000 ,22,109," Terrebonne Parish, LA                    ",   Feb-21  ,"45,252","42,608","2,644",5.8
 CN2211100000000 ,22,111," Union Parish, LA                         ",   Feb-21  ,"8,902","8,415",487,5.5
 CN2211300000000 ,22,113," Vermilion Parish, LA                     ",   Feb-21  ,"23,418","22,072","1,346",5.7
 CN2211500000000 ,22,115," Vernon Parish, LA                        ",   Feb-21  ,"15,837","15,084",753,4.8
 CN2211700000000 ,22,117," Washington Parish, LA                    ",   Feb-21  ,"16,613","15,559","1,054",6.3
 CN2211900000000 ,22,119," Webster Parish, LA                       ",   Feb-21  ,"13,751","12,926",825,6
 CN2212100000000 ,22,121," West Baton Rouge Parish, LA              ",   Feb-21  ,"13,424","12,711",713,5.3
 CN2212300000000 ,22,123," West Carroll Parish, LA                  ",   Feb-21  ,"3,459","3,198",261,7.5
 CN2212500000000 ,22,125," West Feliciana Parish, LA                ",   Feb-21  ,"5,175","4,972",203,3.9
 CN2212700000000 ,22,127," Winn Parish, LA                          ",   Feb-21  ,"4,577","4,326",251,5.5
 CN2300100000000 ,23,1," Androscoggin County, ME                  ",   Feb-21  ,"54,280","51,429","2,851",5.3
 CN2300300000000 ,23,3," Aroostook County, ME                     ",   Feb-21  ,"29,316","27,581","1,735",5.9
 CN2300500000000 ,23,5," Cumberland County, ME                    ",   Feb-21  ,"159,857","152,533","7,324",4.6
 CN2300700000000 ,23,7," Franklin County, ME                      ",   Feb-21  ,"14,145","13,329",816,5.8
 CN2300900000000 ,23,9," Hancock County, ME                       ",   Feb-21  ,"26,970","25,015","1,955",7.2
 CN2301100000000 ,23,11," Kennebec County, ME                      ",   Feb-21  ,"61,252","58,362","2,890",4.7
 CN2301300000000 ,23,13," Knox County, ME                          ",   Feb-21  ,"19,359","18,275","1,084",5.6
 CN2301500000000 ,23,15," Lincoln County, ME                       ",   Feb-21  ,"16,171","15,226",945,5.8
 CN2301700000000 ,23,17," Oxford County, ME                        ",   Feb-21  ,"26,605","24,794","1,811",6.8
 CN2301900000000 ,23,19," Penobscot County, ME                     ",   Feb-21  ,"74,526","70,609","3,917",5.3
 CN2302100000000 ,23,21," Piscataquis County, ME                   ",   Feb-21  ,"7,452","7,032",420,5.6
 CN2302300000000 ,23,23," Sagadahoc County, ME                     ",   Feb-21  ,"18,919","18,104",815,4.3
 CN2302500000000 ,23,25," Somerset County, ME                      ",   Feb-21  ,"22,393","20,775","1,618",7.2
 CN2302700000000 ,23,27," Waldo County, ME                         ",   Feb-21  ,"19,905","18,782","1,123",5.6
 CN2302900000000 ,23,29," Washington County, ME                    ",   Feb-21  ,"13,473","12,402","1,071",7.9
 CN2303100000000 ,23,31," York County, ME                          ",   Feb-21  ,"110,721","104,023","6,698",6
 CN2400100000000 ,24,1," Allegany County, MD                      ",   Feb-21  ,"30,168","27,995","2,173",7.2
 CN2400300000000 ,24,3," Anne Arundel County, MD                  ",   Feb-21  ,"307,990","292,461","15,529",5
 CN2400500000000 ,24,5," Baltimore County, MD                     ",   Feb-21  ,"438,856","412,236","26,620",6.1
 CN2400900000000 ,24,9," Calvert County, MD                       ",   Feb-21  ,"48,185","45,917","2,268",4.7
 CN2401100000000 ,24,11," Caroline County, MD                      ",   Feb-21  ,"17,271","16,371",900,5.2
 CN2401300000000 ,24,13," Carroll County, MD                       ",   Feb-21  ,"92,423","88,350","4,073",4.4
 CN2401500000000 ,24,15," Cecil County, MD                         ",   Feb-21  ,"52,321","49,487","2,834",5.4
 CN2401700000000 ,24,17," Charles County, MD                       ",   Feb-21  ,"85,256","80,266","4,990",5.9
 CN2401900000000 ,24,19," Dorchester County, MD                    ",   Feb-21  ,"15,812","14,833",979,6.2
 CN2402100000000 ,24,21," Frederick County, MD                     ",   Feb-21  ,"132,973","126,195","6,778",5.1
 CN2402300000000 ,24,23," Garrett County, MD                       ",   Feb-21  ,"15,232","14,275",957,6.3
 CN2402500000000 ,24,25," Harford County, MD                       ",   Feb-21  ,"137,268","130,369","6,899",5
 CN2402700000000 ,24,27," Howard County, MD                        ",   Feb-21  ,"183,640","175,245","8,395",4.6
 CN2402900000000 ,24,29," Kent County, MD                          ",   Feb-21  ,"9,441","8,841",600,6.4
 CN2403100000000 ,24,31," Montgomery County, MD                    ",   Feb-21  ,"538,252","507,344","30,908",5.7
 CN2403300000000 ,24,33," Prince George's County, MD               ",   Feb-21  ,"497,084","459,428","37,656",7.6
 CN2403500000000 ,24,35," Queen Anne's County, MD                  ",   Feb-21  ,"27,375","26,090","1,285",4.7
 CN2403700000000 ,24,37," St. Mary's County, MD                    ",   Feb-21  ,"57,299","54,758","2,541",4.4
 CN2403900000000 ,24,39," Somerset County, MD                      ",   Feb-21  ,"8,441","7,757",684,8.1
 CN2404100000000 ,24,41," Talbot County, MD                        ",   Feb-21  ,"17,215","16,156","1,059",6.2
 CN2404300000000 ,24,43," Washington County, MD                    ",   Feb-21  ,"71,909","67,797","4,112",5.7
 CN2404500000000 ,24,45," Wicomico County, MD                      ",   Feb-21  ,"47,646","44,314","3,332",7
 CN2404700000000 ,24,47," Worcester County, MD                     ",   Feb-21  ,"24,289","21,598","2,691",11.1
 CN2451000000000 ,24,510," Baltimore city, MD                       ",   Feb-21  ,"273,922","251,844","22,078",8.1
 CN2500100000000 ,25,1," Barnstable County, MA                    ",   Feb-21  ,"106,712","95,736","10,976",10.3
 CN2500300000000 ,25,3," Berkshire County, MA                     ",   Feb-21  ,"62,676","57,258","5,418",8.6
 CN2500500000000 ,25,5," Bristol County, MA                       ",   Feb-21  ,"298,155","273,063","25,092",8.4
 CN2500700000000 ,25,7," Dukes County, MA                         ",   Feb-21  ,"8,435","7,443",992,11.8
 CN2500900000000 ,25,9," Essex County, MA                         ",   Feb-21  ,"422,681","388,499","34,182",8.1
 CN2501100000000 ,25,11," Franklin County, MA                      ",   Feb-21  ,"40,406","37,790","2,616",6.5
 CN2501300000000 ,25,13," Hampden County, MA                       ",   Feb-21  ,"226,370","205,743","20,627",9.1
 CN2501500000000 ,25,15," Hampshire County, MA                     ",   Feb-21  ,"88,784","83,490","5,294",6
 CN2501700000000 ,25,17," Middlesex County, MA                     ",   Feb-21  ,"900,626","848,825","51,801",5.8
 CN2501900000000 ,25,19," Nantucket County/town, MA                ",   Feb-21  ,"6,597","5,482","1,115",16.9
 CN2502100000000 ,25,21," Norfolk County, MA                       ",   Feb-21  ,"387,691","363,342","24,349",6.3
